; Speeches List by alexguirre
; Format:
; VOICE_NAME = SPEECH_NAME, INDEX

[all]
A_F_M_BEACH_01_WHITE_FULL_01 = AGREE_ACROSS_STREET, 1
A_F_M_BEACH_01_WHITE_FULL_01 = AGREE_ACROSS_STREET, 2
A_F_M_BEACH_01_WHITE_FULL_01 = AGREE_ACROSS_STREET, 3
A_F_M_BEACH_01_WHITE_FULL_01 = APOLOGY_NO_TROUBLE, 1
A_F_M_BEACH_01_WHITE_FULL_01 = APOLOGY_NO_TROUBLE, 2
A_F_M_BEACH_01_WHITE_FULL_01 = BLOCKED_GENERIC, 1
A_F_M_BEACH_01_WHITE_FULL_01 = BLOCKED_GENERIC, 2
A_F_M_BEACH_01_WHITE_FULL_01 = BLOCKED_GENERIC, 3
A_F_M_BEACH_01_WHITE_FULL_01 = BUMP, 1
A_F_M_BEACH_01_WHITE_FULL_01 = BUMP, 2
A_F_M_BEACH_01_WHITE_FULL_01 = BUMP, 3
A_F_M_BEACH_01_WHITE_FULL_01 = CHALLENGE_ACCEPTED_BUMPED_INTO, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHALLENGE_ACCEPTED_GENERIC, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHALLENGE_ACCEPTED_GENERIC, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CHALLENGE_THREATEN, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHALLENGE_THREATEN, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_ACROSS_STREET_RESP, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_ACROSS_STREET_RESP, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_ACROSS_STREET_STATE, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_ACROSS_STREET_STATE, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_RESP, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_RESP, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_STATE, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CHAT_STATE, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CRASH_CAR, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CRASH_CAR, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CRASH_GENERIC, 1
A_F_M_BEACH_01_WHITE_FULL_01 = CRASH_GENERIC, 2
A_F_M_BEACH_01_WHITE_FULL_01 = CRASH_GENERIC, 3
A_F_M_BEACH_01_WHITE_FULL_01 = DODGE, 1
A_F_M_BEACH_01_WHITE_FULL_01 = DODGE, 2
A_F_M_BEACH_01_WHITE_FULL_01 = FIGHT, 1
A_F_M_BEACH_01_WHITE_FULL_01 = FIGHT_RUN, 1
A_F_M_BEACH_01_WHITE_FULL_01 = FIGHT_RUN, 2
A_F_M_BEACH_01_WHITE_FULL_01 = FIGHT_RUN, 3
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_BUY, 1
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_BYE, 1
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_BYE, 2
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_HIGH, 1
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_HIGH, 2
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_HIGH, 3
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_MED, 1
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_MED, 2
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_MED, 3
A_F_M_BEACH_01_WHITE_FULL_01 = GENERIC_CURSE_MED, 4
